id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1432493333109166089,1432493333109166089,2021-08-30 18:59:59 CDT,2021-08-30,18:59:59,-0500,13159712,stlmag,St. Louis Magazine,,"Third doses are available at venues providing first and second doses of the COVID vaccine for people who are immunocompromised, but a booster shot for those who have built enough protection after vaccination could be available by fall 2021.  https://t.co/NviTam1aFZ",en,[],['https://hubs.li/H0WfLkf0'],[],0,0,1,[],[],https://twitter.com/stlmag/status/1432493333109166089,False,,0,,,,,,,,[],,,,
1432493332865830914,1432493332865830914,2021-08-30 18:59:59 CDT,2021-08-30,18:59:59,-0500,17043460,dkegel,(((Dan Kegel))),,Discussing school coronavirus mitigation with antivaxxers/antimaskers is surreal.,en,[],[],[],0,0,0,[],[],https://twitter.com/dkegel/status/1432493332865830914,False,https://twitter.com/mark__b1/status/1432386200611004418,0,,,,,,,,[],,,,
1432493332341612548,1432493332341612548,2021-08-30 18:59:59 CDT,2021-08-30,18:59:59,-0500,1872598117,pazhenaoandres,pazhenao andres,,Querido presidente. @IvanDuque . Como decía con los problemas de Colombia. No es posible que la vicepresidenta sea canciller. Colombia necesita un canciller de tiempo completó. Igual presidente. Sigo pensando que usted es un buen mandatario. Lucha contra el covid.,es,"[{'screen_name': 'ivanduque', 'name': 'iván duque 🇨🇴', 'id': '77653794'}]",[],[],0,1,4,[],[],https://twitter.com/pazhenaoandres/status/1432493332341612548,False,,0,,,,,,,,[],,,,
1432493332337356801,1432493332337356801,2021-08-30 18:59:59 CDT,2021-08-30,18:59:59,-0500,603880289,sarahhunnell,Talking Horse,,"It's been a rough couple of days. Good friend called to tell me she and her hubby have covid. They are fully vaxxed but he has a rare autoimmune condition. He's been in the hospital over a week, but it's doing well and just needs O2.",en,[],[],[],1,0,0,[],[],https://twitter.com/sarahhunnell/status/1432493332337356801,False,,0,,,,,,,,[],,,,
1432493331255205890,1432477323220041735,2021-08-30 18:59:59 CDT,2021-08-30,18:59:59,-0500,278831995,archaeologuy,Arch,,@eplerjc One mango seems like an excessive amount of mango to me. It’s too much work. We can make seedless watermelon and grapes but science has been so preoccupied with Covid that we have missed out on pitless mango.,en,[],[],[],0,0,3,[],[],https://twitter.com/Archaeologuy/status/1432493331255205890,False,,0,,,,,,,,"[{'screen_name': 'eplerjc', 'name': 'John Epler', 'id': '21729394'}]",,,,
1432493329959342083,1432493329959342083,2021-08-30 18:59:58 CDT,2021-08-30,18:59:58,-0500,26059037,lovej0_,j,,COVID is dead spinning the block.,en,[],[],[],0,0,0,[],[],https://twitter.com/LoveJ0_/status/1432493329959342083,False,,0,,,,,,,,[],,,,
1432493329959329794,1432425382691500036,2021-08-30 18:59:58 CDT,2021-08-30,18:59:58,-0500,262990452,ejkeen47,Eber,,@Crackedhonky @komonews I believe you mean comorbidity. The average age of people in the ICU due to covid where I am is 40.,en,[],[],[],2,0,3,[],[],https://twitter.com/ejkeen47/status/1432493329959329794,False,,0,,,,,,,,"[{'screen_name': 'Crackedhonky', 'name': 'Frank Bauer', 'id': '760973705774108672'}, {'screen_name': 'komonews', 'name': 'KOMO News', 'id': '16086928'}]",,,,
1432493328570880002,984588315327385603,2021-08-30 18:59:58 CDT,2021-08-30,18:59:58,-0500,279358548,kerirn,Reclaiming my Time,,"@BernadetteNTF @Elennar_Linwen @TJNugent520 @zazzybritches @RonniLaurie @getthrutheday @OklahomaPatrio1 @BlueSwede2000 @Saline_tRick @sharona_62 @Style17strings @kristyshl @62WalterP @tack_sharp @GDThor1 @ThomONeil1 @impinkestgirl @MarciaBunney @bobbiejaneV @KeepsAtIt @CygnusInVesper @gojoe_joe @poppij @CunningSq16 @politiolyc @GreatTammie @yoly54128913 @Goddess98465465 @bettypge69 @RegVickers @MairScott3 @MusicIsTheory @sugar1420 @RockyMtnView @Ldogls @yolalindayola @Freebearphil @vaato5455 @CartistNy @BonJS0370 @patricia_millin @doug_in_nc @tropicaltreater @CirclesSpinning @MFrance923 @julyriver @BlueWave_resist @Ezim79 @StaryStaryNlght We have our mask mandate in place, its 2 weeks on Monday...and the more who get Covid...the more regret not vaccinating, telling them to tell ALL THEIR FRIENDS/FAMILY...VACCINATE...hoping with those occurring, our numbers will decrease...",en,[],[],[],1,2,5,[],[],https://twitter.com/keriRN/status/1432493328570880002,False,,0,,,,,,,,"[{'screen_name': 'BernadetteNTF', 'name': 'Bernadette Keenan', 'id': '48940814'}, {'screen_name': 'Elennar_Linwen', 'name': 'Barbara Puder- I’m ready for my booster shot', 'id': '978321622561148928'}, {'screen_name': 'TJNugent520', 'name': 'Tom', 'id': '1161020183143747586'}, {'screen_name': 'zazzybritches', 'name': 'GiGi Gator Girl', 'id': '2836893203'}, {'screen_name': 'RonniLaurie', 'name': 'Ronda.in.Iowa', 'id': '4864536709'}, {'screen_name': 'getthrutheday', 'name': 'Kar Ma', 'id': '32863881'}, {'screen_name': 'OklahomaPatrio1', 'name': 'OklahomaPatriots', 'id': '1043241859647078400'}, {'screen_name': 'BlueSwede2000', 'name': 'Blue Swede', 'id': '1364250496182210565'}, {'screen_name': 'Saline_tRick', 'name': 'tRick Saline', 'id': '1344137313563987971'}, {'screen_name': 'sharona_62', 'name': 'AMCrook', 'id': '80381605'}, {'screen_name': 'Style17strings', 'name': ""We're Not In Kansas Anymore, 🆘️ #Resist"", 'id': '879751811430830080'}, {'screen_name': 'kristyshl', 'name': 'Make Assholes Go Away', 'id': '716508133233823744'}, {'screen_name': '62WalterP', 'name': 'Phoenix Rising', 'id': '899085537243516928'}, {'screen_name': 'tack_sharp', 'name': 'Yo Wassup? 🗽🇺🇸🌊🌈🐾🐾🐾', 'id': '483329059'}, {'screen_name': 'GDThor1', 'name': 'G.D. Thor', 'id': '866896530636255234'}, {'screen_name': 'ThomONeil1', 'name': 'RU KIDDING', 'id': '2316496189'}, {'screen_name': 'impinkestgirl', 'name': 'impinkgirl *BLACK LIVES HAVE ALWAYS MATTERED*', 'id': '862435303881023488'}, {'screen_name': 'MarciaBunney', 'name': 'Marcia La Résistance (@🏡)', 'id': '589606816'}, {'screen_name': 'bobbiejaneV', 'name': 'BobbieJ. 🌹', 'id': '1551532544'}, {'screen_name': 'KeepsAtIt', 'name': 'Mary’s Spare Tire 😉', 'id': '1162564508117716992'}, {'screen_name': 'CygnusInVesper', 'name': 'Cygnus In Vespertilio', 'id': '897538180756283392'}, {'screen_name': 'gojoe_joe', 'name': ""Just Joe / Vaccinated and still want my 6'🏴\u200d☠️"", 'id': '475165013'}, {'screen_name': 'poppij', 'name': '🇨🇦 Dead Eye PoP’eh 🇬🇧', 'id': '69810483'}, {'screen_name': 'CunningSq16', 'name': '🐿 🐿 Squirrel 🐿 🐿 🐿', 'id': '750312506019549185'}, {'screen_name': 'politiolyc', 'name': 'politically Incorrect', 'id': '1080680235236900864'}, {'screen_name': 'GreatTammie', 'name': 'Tammie  the Great', 'id': '1094230607322906624'}, {'screen_name': 'yoly54128913', 'name': 'Joe Biden is our president ,💃🏽💥🔥', 'id': '1273081059408822274'}, {'screen_name': 'Goddess98465465', 'name': 'Goddess', 'id': '1318230455574011906'}, {'screen_name': 'bettypge69', 'name': 'Bettie Page 🍀🍀 ❌BlackLivesMatter', 'id': '29973860'}, {'screen_name': 'RegVickers', 'name': 'Reg Vickers', 'id': '880424816314130432'}, {'screen_name': 'MairScott3', 'name': 'Mair Scott 🏴\u200d☠️', 'id': '4359164413'}, {'screen_name': 'MusicIsTheory', 'name': 'RVF', 'id': '1417938375475007490'}, {'screen_name': 'sugar1420', 'name': 'End Citizens United', 'id': '91117142'}, {'screen_name': 'RockyMtnView', 'name': 'RockyMountainView', 'id': '1346308346543042560'}, {'screen_name': 'Ldogls', 'name': 'Ldogls', 'id': '591256990'}, {'screen_name': 'yolalindayola', 'name': 'please wear the mask 😷💥🔥', 'id': '3047782829'}, {'screen_name': 'Freebearphil', 'name': 'Phil, Bear lover.', 'id': '1283653652'}, {'screen_name': 'vaato5455', 'name': 'John L. Grafft', 'id': '4435019892'}, {'screen_name': 'CartistNy', 'name': 'NYCartist', 'id': '1347631142292381700'}, {'screen_name': 'BonJS0370', 'name': 'Bonnie Blue S🌊NOT A BOT!🌊', 'id': '850168353251512320'}, {'screen_name': 'patricia_millin', 'name': 'uıןןıɯ ɐıɔıɹʇɐd', 'id': '879848738'}, {'screen_name': 'doug_in_nc', 'name': 'ℕℂ𝟘𝟡 𝕓𝕝𝕦𝕖 𝕕𝕠𝕥 🌊✝️😷💉', 'id': '285892802'}, {'screen_name': 'tropicaltreater', 'name': 'michaels mom No Lists Please', 'id': '812390757650825218'}, {'screen_name': 'CirclesSpinning', 'name': ""αηтнσηү's sριηηιηg cιяcℓεs ³³º¹🆘🌊🌊"", 'id': '1150145646311202816'}, {'screen_name': 'MFrance923', 'name': 'VOTE BLUE 🇺🇸2022 🇺🇸', 'id': '242696283'}, {'screen_name': 'julyriver', 'name': 'hud ♏️🇺🇸', 'id': '60674171'}, {'screen_name': 'BlueWave_resist', 'name': 'Janice Pro Democracy', 'id': '1220069108747788290'}, {'screen_name': 'Ezim79', 'name': 'Eric Z', 'id': '1010918727301324801'}, {'screen_name': 'StaryStaryNlght', 'name': 'StaryStaryNight', 'id': '866778799576371200'}]",,,,
1432493327669030912,1432420337451507714,2021-08-30 18:59:58 CDT,2021-08-30,18:59:58,-0500,1430327014355963904,humbledcanadian,Humble Canadian,,@puckyou1977 @liberal_party I'd make a better health minister my God. Here i got u guys. The media has over exaggerated Covid by 10000000% their complete idiots and no one should ever listen to mainstream media and do your own damn research...,en,[],[],[],1,0,1,[],[],https://twitter.com/humbledcanadian/status/1432493327669030912,False,,0,,,,,,,,"[{'screen_name': 'puckyou1977', 'name': 'Canada Is In TROUBLE', 'id': '1325214340539179014'}, {'screen_name': 'liberal_party', 'name': 'Liberal Party', 'id': '16397147'}]",,,,
1432493326159261700,1432493326159261700,2021-08-30 18:59:58 CDT,2021-08-30,18:59:58,-0500,48602159,mklinebarnes,Mary Kline Barnes,,"LEE ADMINISTRATION FACES LAWSUIT, FEDERAL INVESTIGATION OVER BOTCHED COVID RESPONSE  U.S. Department of Education is launching an investigation into state policies in five states (including Tennessee) that have sought to ban local mask mandates in schools.",en,[],[],[],1,8,27,[],[],https://twitter.com/mklinebarnes/status/1432493326159261700,False,,0,,,,,,,,[],,,,
